 8.00000000e+00  1.83971257e-02  8.00000000e+00  3.76268728e-03  8.00000000e+00  4.54728566e-04 
 9.00000000e+00  1.83369467e-02  9.00000000e+00  3.76356647e-03  9.00000000e+00  4.55766114e-04 
 1.00000000e+01  1.82771485e-02  1.00000000e+01  3.76444412e-03  1.00000000e+01  4.56806561e-04 
 1.10000000e+01  1.82177276e-02  1.10000000e+01  3.76532024e-03  1.10000000e+01  4.57849917e-04 
 1.20000000e+01  1.81586803e-02  1.20000000e+01  3.76619482e-03  1.20000000e+01  4.58896187e-04 
 1.30000000e+01  1.81000032e-02  1.30000000e+01  3.76706787e-03  1.30000000e+01  4.59945379e-04 
 1.40000000e+01  1.80416929e-02  1.40000000e+01  3.76793938e-03  1.40000000e+01  4.60997501e-04 
 1.50000000e+01  1.79837458e-02  1.50000000e+01  3.76880934e-03  1.50000000e+01  4.62052559e-04 
 1.60000000e+01  1.79261587e-02  1.60000000e+01  3.76967776e-03  1.60000000e+01  4.63110560e-04 
 1.70000000e+01  1.78689281e-02  1.70000000e+01  3.77054462e-03  1.70000000e+01  4.64171513e-04 
 1.80000000e+01  1.78120508e-02  1.80000000e+01  3.77140994e-03  1.80000000e+01  4.65235424e-04 
 1.90000000e+01  1.77555235e-02  1.90000000e+01  3.77227371e-03  1.90000000e+01  4.66302301e-04 
 2.00000000e+01  1.76993429e-02  2.00000000e+01  3.77313592e-03  2.00000000e+01  4.67372150e-04 
 2.10000000e+01  1.76435061e-02  2.10000000e+01  3.77399658e-03  2.10000000e+01  4.68444979e-04 
 2.20000000e+01  1.75880096e-02  2.20000000e+01  3.77485567e-03  2.20000000e+01  4.69520795e-04 
 2.30000000e+01  1.75328506e-02  2.30000000e+01  3.77571320e-03  2.30000000e+01  4.70599605e-04 
 2.40000000e+01  1.74780258e-02  2.40000000e+01  3.77656917e-03  2.40000000e+01  4.71681417e-04 
 2.50000000e+01  1.74235324e-02  2.50000000e+01  3.77742357e-03  2.50000000e+01  4.72766238e-04 
 2.60000000e+01  1.73693672e-02  2.60000000e+01  3.77827640e-03  2.60000000e+01  4.73854074e-04 
 2.70000000e+01  1.73155274e-02  2.70000000e+01  3.77912766e-03  2.70000000e+01  4.74944934e-04 
 2.80000000e+01  1.72620100e-02  2.80000000e+01  3.77997735e-03  2.80000000e+01  4.76038824e-04 
 2.90000000e+01  1.72088121e-02  2.90000000e+01  3.78082546e-03  2.90000000e+01  4.77135750e-04 
 3.00000000e+01  1.71559309e-02  3.00000000e+01  3.78167199e-03  3.00000000e+01  4.78235722e-04 
